section,feature_group,subgroup,key,value,elements,comment,source
Primary features [ edit | edit source ],Amenity,Public Service [ edit source ],amenity,police,node area,A police station where police officers patrol from and that is a first point of contact for civilians,wikitable
Primary features [ edit | edit source ],Amenity,Public Service [ edit source ],amenity,post_box,node,A box for the reception of mail. Alternative mail-carriers can be tagged via operator =*,wikitable
Primary features [ edit | edit source ],Amenity,Public Service [ edit source ],amenity,post_depot,node area,"Post depot or delivery office, where letters and parcels are collected and sorted prior to delivery.",wikitable
Primary features [ edit | edit source ],Amenity,Public Service [ edit source ],amenity,post_office,node area,Post office building with postal services,wikitable
Primary features [ edit | edit source ],Amenity,Public Service [ edit source ],amenity,prison,node area,A prison or jail where people are incarcerated before trial or after conviction,wikitable
Primary features [ edit | edit source ],Amenity,Public Service [ edit source ],amenity,ranger_station,node area,"National Park visitor headquarters: official park visitor facility with police, visitor information, permit services, etc",wikitable
Primary features [ edit | edit source ],Amenity,Public Service [ edit source ],amenity,townhall,node area,"Building where the administration of a village, town or city may be located, or just a community meeting place",wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,bbq,node,"BBQ or Barbecue is a permanently built grill for cooking food, which is most typically used outdoors by the public. For example these may be found in city parks or at beaches. Use the tag fuel =* to specify the source of heating, such as fuel = wood ; electric ; charcoal . For mapping nearby table and chairs, see also the tag tourism = picnic_site . For mapping campfires and firepits , instead use the tag leisure = firepit .",wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,bench,node way,A bench to sit down and relax a bit,wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,check_in,node way area,Place where passengers can get their boarding passes before travel (typically found in airports).,wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,dog_toilet,node area,Area designated for dogs to urinate and excrete.,wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,dressing_room,node area,Area designated for changing clothes.,wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,drinking_water,node,"Drinking water is a place where humans can obtain potable water for consumption. Typically, the water is used for only drinking. Also known as a drinking fountain or bubbler .",wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,give_box,node area,A small facility where people drop off and pick up various types of items in the sense of free sharing and reuse.,wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,lounge,node area,"A comfortable waiting area for customers, usually found in airports and other transportation hubs. Typically has extra amenities or sustenance.",wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,mailroom,node area,A mailroom for receiving packages or letters.,wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,parcel_locker,node area,Machine for picking up and sending parcels,wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,shelter,node area,A small shelter against bad weather conditions. To additionally describe the kind of shelter use shelter_type =* .,wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,shower,node area,Public shower.,wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,telephone,node,Public telephone,wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,toilets,node area,Public toilets (might require a fee),wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,water_point,node,Place where you can get large amounts of drinking water,wikitable
Primary features [ edit | edit source ],Amenity,Facilities [ edit source ],amenity,watering_place,node,Place where water is contained and animals can drink,wikitable
Primary features [ edit | edit source ],Amenity,Waste Management [ edit source ],amenity,sanitary_dump_station,node area,A place for depositing human waste from a toilet holding tank.,wikitable
Primary features [ edit | edit source ],Amenity,Waste Management [ edit source ],amenity,recycling,node area,"Recycling facilities (bottle banks, etc.). Combine with recycling_type = container for containers or recycling_type = centre for recycling centres.",wikitable
Primary features [ edit | edit source ],Amenity,Waste Management [ edit source ],amenity,waste_basket,node,A single small container for depositing garbage that is easily accessible for pedestrians.,wikitable
Primary features [ edit | edit source ],Amenity,Waste Management [ edit source ],amenity,waste_disposal,node,"A medium or large disposal bin, typically for bagged up household or industrial waste.",wikitable
Primary features [ edit | edit source ],Amenity,Waste Management [ edit source ],amenity,waste_transfer_station,node area,"A waste transfer station is a location that accepts, consolidates and transfers waste in bulk.",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,animal_boarding,node area,"A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays)",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,animal_breeding,node area relation,"A facility where animals are bred, usually to sell them",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,animal_shelter,node area,A shelter that recovers animals in trouble,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,animal_training,node area,A facility used for non-competitive animal training,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,baking_oven,node,"An oven used for baking bread and similar, for example inside a building = bakehouse .",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,clock,node,A public visible clock,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,crematorium,node area,A place where dead human bodies are burnt,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,dive_centre,node area,A dive center is the base location where sports divers usually start scuba diving or make dive guided trips at new locations.,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,funeral_hall,node area,"A place for holding a funeral ceremony, other than a place of worship.",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,grave_yard,node area,"A (smaller) place of burial, often you'll find a church nearby. Large places should be landuse = cemetery instead.",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,hunting_stand,node area,A hunting stand: an open or enclosed platform used by hunters to place themselves at an elevated height above the terrain,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,internet_cafe,node area,A place whose principal role is providing internet services to the public.,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,kitchen,node area,A public kitchen in a facility to use by everyone or customers,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,kneipp_water_cure,node area,Outdoor foot bath facility. Usually this is a pool with cold water and handrail. Popular in German speaking countries.,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,lounger,node,An object for people to lie down.,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,marketplace,node area,A marketplace where goods and services are traded daily or weekly.,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,monastery,node area,Monastery is the location of a monastery or a building in which monks and nuns live.,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,mortuary,node area,"A morgue or funeral home, used for the storage of human corpses.",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,photo_booth,node,A stand to create instant photos.,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,place_of_mourning,node area,"A room or building where families and friends can come, before the funeral, and view the body of the person who has died.",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,place_of_worship,node area,"A church, mosque, or temple, etc. Note that you also need religion =* , usually denomination =* and preferably name =* as well as amenity = place_of_worship . See the article for details.",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,public_bath,node area,"A location where the public may bathe in common, etc. japanese onsen, turkish bath, hot spring",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,public_building,node area,A generic public building. Don't use! See office = government .,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,refugee_site,node area,A human settlement sheltering refugees or internally displaced persons,wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,vending_machine,node,"A machine selling goods – food, tickets, newspapers, etc. Add type of goods using vending =*",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,hydrant,node,"Similar to a fire_hydrant =* , but for gardening and other municipal purposes other than fire extinction",wikitable
Primary features [ edit | edit source ],Amenity,Others [ edit source ],amenity,user defined,node area,All commonly used values according to Taginfo,wikitable
Primary features [ edit | edit source ],Barrier,Linear barriers [ edit source ],barrier,cable_barrier,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Linear barriers [ edit source ],barrier,city_wall,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Linear barriers [ edit source ],barrier,ditch,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Linear barriers [ edit source ],barrier,fence,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Linear barriers [ edit source ],barrier,guard_rail,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Linear barriers [ edit source ],barrier,handrail,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Linear barriers [ edit source ],barrier,hedge,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Linear barriers [ edit source ],barrier,kerb,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Linear barriers [ edit source ],barrier,retaining_wall,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Linear barriers [ edit source ],barrier,wall,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,block,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,bollard,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,border_control,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,bump_gate,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,bus_trap,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,cattle_grid,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,chain,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,cycle_barrier,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,debris,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,entrance,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,full-height_turnstile,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,gate,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,hampshire_gate,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Barrier,Access control on highways [ edit source ],barrier,height_restrictor,,(taglist; descriptions load from Taginfo in the wiki page),taglist
